,Job Title,Company Name,Location,Work Mode,Employment Type,Company Headcount,Industry,JD,JobID
188,React FE Engineer,Divisions Maintenance Group,United States,Remote,,None,None,"Title: React Frontend Engineer

Location: Remote

Department: Product and Engineering

About DMG:

Divisions Maintenance Group provides facility maintenance services to retail chains and distribution and fulfillment centers across the country.

We are leading the way with our technology, creating world-class products that are revolutionizing the industry and fulfilling our brand promise of “Uninterrupted Peace of Mind.”

DMG is a Certified Great Place to Work with a strong, inclusive culture and top-notch benefits.

Job Summary:

We're a remote-first Product & Engineering team looking for exceptional front end engineers. We're seeking individuals who can leverage their strong software engineering principles, communication skills, and ability to work in a collaborative team environment to craft a product with a focus on exceptional customer experiences.

What You’ll Do:
Design, code and maintain web user experiences in our user facing portal 
Optimize code for performance, stability and maintainability 
Work with a cross-functional team of platform engineers, application/UI software engineers, QA/Validation, and designers 
What You Need:
6+ years of experience with modern web UI technologies 
3+ years of experience in React development with an emphasis on functional components and hooks 
3+ years of experience with TypeScript 
Experience using common design patterns. High standards for code quality, maintainability, and performance 
Proficient with Git 
Have an eye for aesthetics and cares about accessibility 
Experience with Yarn or other package managers 
Familiarity with protocol buffers and gRPC is a plus 
Experience with writing integration tests with Jest 
Experience with Tailwind is a plus 
Experience with Node.js is a plus 
Experience with Fusebox is a plus 
Experience with Figma is a plus 
What You’ll Get:
Health, dental and vision coverage on day 1
401(k) with company match
Company paid cell phone
Internal growth opportunities (we pride ourselves on investing in our talent so we can promote from within)
Amazing company culture with plenty of perks: free on-site gym, free parking, free lunch once a week and volunteer opportunities, to name just a few
Divisions Maintenance Group is an equal opportunity employer.",3373350363
189,Founding Software Engineer,"Rinth, Inc.","Chandler, AZ",Hybrid,Full-time,1-10 employees,None,"About Modrinth
Modrinth is building the modern way to discover, share, and play mods for video games. We provide creators with the tools to create, distribute, and monetize their creations. We started by building the leading modding platform for Minecraft in 2021. Now, through 100% organic growth, we are now at over 2M monthly active users and 6000 projects uploaded by creators which have altogether been downloaded millions of times.

We're a company focused on transparency and product-driven development. The majority of our code is open source too! You can view it here: https://github.com/modrinth

Look at our product here: https://modrinth.com/mods

We're based in Chandler, AZ and were founded in 2020. We're backed by an amazing team of investors, including Makers Fund, Chris Lee, Andreas Thorstensson, Stephen Cole, and Ryan Johnson.

The Role
We're looking for a driven and product-focused back-end engineer to build the future of gaming with us.

Qualifications:
You are skilled in the Rust programming language, Git version control, and SQL
You adhere to “good” code practices with a focus on readability, maintainability, and testing
You’re not afraid to branch out of your core competencies to further our product
You take ownership of your projects and will lead yourself and others to build the best product
Bonus: You've made video games or video game mods before
Bonus: You're familiar with front-end frameworks including Vue.JS

Compensation & Benefits
We provide competitive compensation and generous equity.
Modrinth will cover the costs of any top-of-the-line technical equipment you need to do your best work. We’ll also cover any adjacent productivity or office setups you might need. We are an in-person company, headquartered in Chandler with a short remote timeframe; we’ll be supporting you all throughout the journey.
We're here for you. By joining us, you'll get connections to tier 1 firms, founders, operators, and engineers.

The pay range for this position at the start of employment is expected to be between $80,000 and $140,000 per year. However, base pay may vary further depending on individualized factors for candidates, such as job-related knowledge, skills, experience, and other objective business considerations. Subject to those same considerations, the total compensation package for this position may also include other elements, including a bonus and/or equity awards, in addition to a full range of medical, financial, and/or other benefits.",3361616321
190,Mulesoft Developer,Allegis Group,"Wayne, NJ",On-site,Full-time · Entry level,"10,001+ employees",Staffing and Recruiting,"This Fortune 500 Bank has 2 Full Time Mulesoft Developer (1 Lead Mulesoft devloper, and 1 normal Mulesoft Developer) roles open in Wayne, NJ. The position will be Hybrid. Meaning 2-3 days in the office each week.

The MuleSoft Developer will collaborate with a team of engineering professionals responsible for the building of re-usable, scalable APIs for consumption across multiple systems in the Bank. Works closely with Architects, end-users and product owners to jointly define the design and the engineering implementation.

Skills

Mulesoft, mysql server

Top Skills Details

Mulesoft

Additional Skills & Qualifications

Spec, design, develop and deploy System, Process and Experience layer APIs and integrations based on architectural design documentation, enterprise guardrails and business requirements.

Ensure the team adheres to good coding practices including code coverage and maintenance of a knowledge repository of software design documentation.

Maintain existing APIs and integration points within the MuleSoft platform.

Test, debug and resolve issues as they arise during all parts of the development lifecycle.

Design best practices, standards, and procedures as they pertain to the MuleSoft platform, enforcing adherence across the team.

Maintain clear and concise documentation on all APIs being developed to promote re-use.

Maintain a deep understanding of the MuleSoft platform including Mule Runtime, available connectors, Design Center and API Management.

About TEKsystems

We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",3368384155
191,Entry Level Computer Programmer,Revature,"Reston, VA",,Full-time · Entry level,"1,001-5,000 employees",IT Services and IT Consulting,"We are seeking talented individuals that are motivated to kickstart their technology career. No prior professional experience required.

Revature is the largest and fastest growing employer of emerging technology talent across the U.S. Come join us! As a Revature Entry Level Computer Programmeryou will receive on-the-job-training to become an experienced software engineer.

Remote interviews are starting now!

Benefits For Entry Level Computer Programmer
Launch a software engineering career with no prior experience
Learn to code on the job. that's right: we pay you to learn.
Competitive salary
Relocation assistance
Paid time off
Industry Certifications - Employer paid.
401k
Mentoring program
Career acceleration: over 72% of Revature alumni have received an additional promotion and 92% saw their salary significantly increase after launching their tech career with Revature
Entry Level Computer Programmer Training Programme
Full-time, paid training
Work on real world projects in a team environment to get you enterprise-ready for placement with one of our corporate partners.
Training on the most in-demand programming skills in the job market. we work together with our corporate partners, to identify the skills that are most vital to their organisation
We're invested in your success-you'll have an employee engagement team member to support and provide you with a wide range of assistance
As a Revature employee, you'll also have access to our expansive network of like minded peers who will show you the ropes to ensure you'll rock your tech career
What We Are Looking For
College degree (Associates or Bachelors)
Must be legally authorized to work in the US
Strong desire to learn to code - No prior professional experience required.
A natural problem solver
Team player
Challenge seekers looking to develop tech skills
Adaptable
Strong communication and interpersonal skills
Willing to relocate anywhere in the US - Relocation assistance provided
Working for Revature is more than a job, we develop you into an experienced software engineer and put you on an accelerated career path. Fast track your tech career and work for a company that invests in you-whose own success is dependent on your success.

Equal Employment Opportunity

The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law.

We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company's employees to perform their job duties. Our policy reflects and affirms the Company's commitment to the principles of fair employment and the elimination of all discriminatory practices.",3360986393
192,Senior Python Engineer,Baker Engine,United States,Remote,Full-time,1-10 employees,None,"Baker Engine is a new company building an advanced sports prediction engine. You can read more about the product here: https://bakerengine.com/

The primary responsibility is software development with a secondary focus on basic machine learning and data engineering.

Description
Write Python code that incorporates the rules and tendencies of different major American sports leagues to simulate them down to a play-by-play level.
Identify areas in the simulation that would benefit from machine learning models.
Use our existing all-access sports data feeds to build and train ML models in Python to account for that part of the simulation.
Perform statistical analysis on ML models and fine-tune them using test results.
Incorporate the ML code into our experiment and model registry system.
Write Python DAGs to manage data syncing, ETL data processing and ML model training.
Deploy code to production with our Github Actions that manage AWS deployments.
Collaborate remotely with the founder on what areas of the system to work on next.
Share on-call duty of production systems.

Requirements
Excellent Python developer with attention to detail.
Well-rounded data generalist with experience with a lot of the Python data ecosystem: Pandas, NumPy, SciPy & Scikit-learn.
Familiarity with deep learning frameworks such as TensorFlow and PyTorch.
Experience writing automated tests with pytest.
Experience writing and maintaining DAGs for data pipelines to train and deploy machine learning models.
Experience with the full data science lifecycle of EDA, feature engineering, model selection, training and validation.
Experience with both regression and classification models and how to evaluate them.
Knowledge of statistics fundamentals.
Experience with AWS and basic systems administration in a cloud environment.
Experience building REST APIs in Python with Flask or FastAPI.
Experience with both SQL and NoSQL databases.
Pragmatic about software architecture.
Proactive & ambitious.
Able to work independently with minimal requirements.
Enjoys responsibility and lots of focused work time with very few Zoom calls.
Knowledge of the NFL, NBA and at least one other major American sport.
Excellent written and verbal communication skills.
Optimistic team player.
Great analytical and problem-solving skills.
Love working with sports data and predicting the outcome of sporting events.
Legally authorized to work in the United States of America.
Able to work fully remotely. We have no office, so there is no risk of relocation or going “back to the office.”
Nice to have: Advanced data science background.
Nice to have: Detailed knowledge of many popular sports (NFL, NBA, MLB, NHL, NCAAF, NCAAB)",3358655126
193,Senior Machine Learning Engineer (Pre-IPO Startup),Recruiting from Scratch,Greater Lansing,Hybrid,Full-time · Mid-Senior level,11-50 employees,Staffing and Recruiting,"About Our Client

We are the global leader in e-commerce technology, helping companies seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Live Nation, Groupon, Staples, Lands’ End, Fanatics, UrbanStems, GoDaddy, Vistaprint and HelloFresh are among the more than 2,500 leading global businesses and advertisers that are using our solutions to drive more value through every transaction by offering highly relevant messages to their customers at the moment they are most likely to convert.

With our December 2021 Series E raise of USD$325M, we're is expanding rapidly and globally – operating in 19 countries across North America, Europe and the Asia-Pacific region with the largest office in NYC and a major R&D hub in Sydney. With annual revenues of more than US$200M and vibrant company culture, we have been listed in ‘Great Places to Work’ in the US and Australia. Our award-winning culture is guided by our five core values: Smart with Humility, Own the Outcomes, Force for Good, Conquer New Frontiers, and Enjoy the Ride. These values help us attract, engage, and develop the right talent around the globe and ensure we have the right conditions to do our best work. Keen to join a fast-growing company and a vibrant culture?

Our engineering team builds best-in-class e-commerce technology that provides personalized and relevant experiences for customers globally and empowers marketers with sophisticated, AI-driven tooling to better understand consumers. Our bespoke platform handles millions of transactions per day and considers billions of data points which give engineers the opportunity to build technology at scale, collaborate across teams and gain exposure to a wide range of technology. We are expanding rapidly in our major R&D centers in NYC and Sydney. We are passionate about using intelligent systems to improve the transaction moment for retailers everywhere. Come join us and build the future!

The Role

As a Senior Machine Learning Engineer you are someone who has significant expertise in modeling, statistics and programming. You will be working with our engineering and product teams to design, build and productionize proprietary machine learning models to solve different business challenges including smart bidding, lookalike modeling, forecasting, and etc.

Responsibilities

Collaborate closely with product managers and other engineers to understand business priorities, frame machine learning problems, architect machine learning solutions.
Build and productionize machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services performance and reliability and etc.
Contribute and maintain the high quality of code base with tests that provide a high level of functional coverage as well as non-functional aspects with load testing, unit testing, integration testing, etc.
Keep track of emerging tech and trends, research the state-of-art deep learning models, prototype new modelling ideas, and conduct offline and online experiments.
Share your knowledge by giving brown bags, tech talks, and evangelizing appropriate tech and engineering best practices.
Mentor other team members, facilitate within/across team workshops and lead the agile development.
Requirements

Bachelor’s degree in Computer Science, a similar technical field of study or equivalent practical experience.
5+ years of industry experience in building production-grade machine learning systems with all aspects of model training, tuning, deploying, serving and monitoring.
2+ years of industry experience in software engineering roles and development experience in Python, SQL, and/or other programming languages.
Strong understanding in software engineering best practices
Knowledge in at least one of the following areas - Bayesian methods, Econometrics, Reinforcement learning, Gradient boosting machine, Natural language processing, Computer vision, etc.
Be motivated, self-driven in a fast (we truly mean fast) paced environment with a proven track record demonstrating impact across several teams and/or organizations.
Ability to communicate and collaborate effectively with business stakeholders and manage tasks in a timely manner.
We encourage autonomy; teams have complete ownership of their systems including building, running and monitoring. As such, you may be required to be on-call and respond to system alerts should they arise.
Ideas, opinions, and the ability to share them through respectful proposals, presentations, and team-wide discussions, An eagerness to work and learn in the open and share your learnings with your teammates.
Experience in DevOps, MLOps and SRE is a massive plus.
Experience of Kubernetes, Kubeflow, TFX and Feature Store in a production environment is a massive plus.

Benefits
Force for Good.
We actively invest in the growth of our people and the strengthening of our communities. Our NYC office is 100% vaccinated to keep our employees and community safe and healthy. We require all stars as well as anyone else who will be onsite at our NYC office – clients, contractors, vendors, and suppliers – to show proof of vaccination and their booster shot.
Work with the greatest talent in town.
Our recruiting process is tough. We hold a high bar because we have a high-performing, high-velocity culture - we only want the brightest and the best.
Join a community.
We believe the best things happen when we come together to solve complex problems and make meaningful connections with each other through interest groups, sports clubs, and social events.
Accelerate your career.
Develop through our global training events, ‘Level Up’ investment, online training courses, and our fantastic people leaders. Take your career to race car speed - Grow your career in our rapidly growing company.
Take a break.
When you work hard, we know you also need to rest. We offer generous time off and parental leave policies, as well as mental health and wellness days for all employees. We also offer a paid Sabbatical for employees who have been with us for 3 years or more.
Stay happy and healthy.
Enjoy catered lunch 3 times a week and healthy snacks in the office. Plus join the gym on us! In the US, access generous retirement plans like a 4% dollar-for-dollar 401K matching plan and get fully funded premium health insurance for your whole family. And our NYC office is dog-friendly!
Become a shareholder.
All employees have stock options. If we succeed, everyone enjoys the upside.
See the world!
Along with our global all-staff events in amazing locations (Phuket, Thailand in January 2020, Hawaii in May 2022), we also offer generous relocation packages for those interested in moving to another office. We have cool offices in great cities - New York, Sydney, London, Singapore, Tokyo.
Get the best of both worlds with a hybrid workplace.
We currently work 3 days a week in office, allowing you to enjoy the best of both worlds (please note: this is subject to change based on the needs of the business and some support roles still require a full time presence). One week per quarter, you also have the flexibility to work from anywhere.
We believe in equality.
We are an Equal Opportunity Employer and recognizes that a diverse workforce is crucial to our success as a business. We would love you to apply for one of our open roles - irrespective of socio-economic status or background, age, gender identity, race, religion, sexual orientation, color, pregnancy, carer/family responsibilities, national and social origin, political opinion, marital, veteran, or disability status.

Salary range: $200,000 - $300,000 / year

Location: Hybrid 3 days, of your choice, a week in office at the intersection of SoHo and TriBeCa within walking distance of the bike path and outdoor fields on the Hudson River. You’ll be tempted to skip the catered lunches to try out all of the delicious local eateries in the area.

Who is Recruiting from Scratch:

Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.",3365845473
194,Machine Learning Research Engineer,Apple,"Seattle, WA",,Full-time,"10,001+ employees",Computers and Electronics Manufacturing,"Summary

The VCV Science ML Experience Prototyping Team is seeking research engineers who are passionate about inventing and building the future of user experiences powered by computer vision, graphics, and machine learning. We partner with teams across Apple, incubate innovative research ideas, push the boundaries of realtime on-device implementation, frequently demonstrate our work to executive leadership, and deliver key results as product features that will delight and inspire millions of people every day.


Key Qualifications

Strong Python/C++ skills with ability to rapidly prototype ideas, and refine towards production.


Background in computer vision and machine learning. Be able to adapt existing innovative ML models and train/fine-tune them in novel settings, i.e. with new data domain, or implement on-device.


Familiarity with 3D graphics, geometry and classical CV concepts a plus.


Comfort with data manipulation and data pipelining.


Experience with Swift/Metal/Shaders/CoreML is a plus.


Excellent communication and collaboration skills in a multi-functional setting.


Description

You’ll be working with a team of computer vision and deep learning researchers and engineers to implement world-class algorithms and experiences that work without constraints of what’s possible. As a Machine Learning Research Engineer on this team, you will work rapidly and multi-functionally to understand and implement state of the art techniques, explore capabilities of future hardware and sensors, translate ideas into interactive experience prototypes to guide decision-making, and drive the incubation of those technologies towards product.


Your work will be instrumental in helping Apple to understand and shape upcoming products and technologies that will have significant impact on customers.


Education & Experience

M.S., or Ph.D., or equivalent industry experience in software engineering, computer vision, machine learning or related fields


Role Number: 200443543",3353630996
195,Software Engineer lll (AWS IOT Core),Lighthouse Worldwide Solutions,"Fremont, CA",On-site,Full-time,51-200 employees,None,"We are seeking a Software Engineer lll (AWS IOT Core) to add to our CA or OR team!
This is an exciting opportunity for someone that likes to be creative with ideas and enjoys coding and designing systems in a team environment!
We're currently seeking a Software Engineer that has enterprise-level experience with AWS IOT Core services (such as MQTT, Rules Engine, Device Shadow, Authentication, and Authorization).
Must have an outstanding work ethic, be self-motivated and have a “can do, get it done” teamwork/positive attitude! Competitive wages and benefits! Great team! Great culture and benefits! Employer Matched 401 k! Sick and Vacation! Health benefits! (Vision, dental, medical, disability and life insurance)
About the Company: Founded in 1982, Lighthouse Worldwide Solutions is the world’s leading supplier of real time contamination monitoring systems and airborne particle counters. Lighthouse offers the most complete line of contamination monitoring solutions available that include Airborne Particle Counters, Microbial Samplers and Liquid Particle Counters, as well as Temperature / Humidity sensors. Recently added production of air purification products, and manufacturing of personal protective equipment. These solutions are now found in semiconductor, pharmaceutical, data storage, biotechnology, aerospace and defense industry plants worldwide.
About the Job and Responsibilities:
This role will help the team select technologies, implement the architecture, and stand-up the various environments. The support and management of all these applications will be owned by this role from the perspective of patching, scalability, configuring, and expansion with new services as they become available.
Essential duties and responsibilities:
· Follow all safety rules and regulations, all work must be done thinking “Safety First”.
· Diagnose, research, and remedy complex issues.
· Test features and bug fixes before handoff to QA.
· Write code that meets production requirements and company standards.
· Work with the product owner on design/feature decisions as they arise.
· Participate in design and wireframe review to provide a technical perspective on implementation.
· Good communication skills.
· Get along with others.
· Able to lift up to 40 pounds and 41+ pounds as a two-person lift.
· Recommends or performs minor remedial actions to correct problems.
· Perform other duties as assigned.

Required Skills/Abilities:
Excellent verbal and written communication skills.
Excellent interpersonal and customer service skills.
· Solid understanding of source control, especially GIT.
· Experience with setup of Disaster Recovery and High Availability.
· Familiarity with the interworking of Web applications and relational databases
· Hands-on experience (4+ years) in AWS cloud-native environment with work experience in AWS IoT, AWS Functions, Kinesis, Fargate, DynamoDB, RDS, and Elastic Beanstalk
· Thorough understanding of ReactJS, NodeJS, and Python with experience in using and implementing them in commercial products
· Strong knowledge of IoT communication protocols: MQTT, BACNET, REST, and Graph QL APIs
· Experience in using reporting frameworks like Grafana, Dash, AWS Quicksight etc.
· Experience with an existing IoT platform, like ThingWorx, Cumulocity, Bosch will be an added plus.
· AWS or certifications are a plus!
· Experience with distributed multi-tier applications and event-driven architectures.
· Excellent time management skills with a proven ability to meet deadlines.
· Ability to work within a Scrum team structure and participate in associated activities.
· Ability to learn new technologies quickly and take on research opportunities.
· Ability to function well in a high-paced and at times stressful environment.
· Ability to work independently.
Education and Experience:
· Bachelor’s Degree in Computer Science or Engineering, or equivalent experience.
· Minimum 4-6 years of experience.
· C#/.Net experience a plus.
· Relevant internships with related experience may be considered.
CANDIDATES SUBJECT TO PRE-EMPLOYMENT BACKGROUND SCREENING
EEO Statement: Lighthouse Worldwide Solutions is an Equal Opportunity Employer. All qualified applicants will be considered for employment without regard to race, age, color, sex, religion, national origin, marital status, ancestry, citizenship, veteran status, sexual orientation or preference, gender identity, disability status, or any other legally-protected status.",3366316545
196,"Staff Software Engineer, Core",Google,"Seattle, WA",On-site,,None,None,,3368704567
197,SDET (Day 1 onsite @ OH),Dice,"Cincinnati, OH",On-site,,None,None,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, United IT Solutions, is seeking the following. Apply via Dice today!

QA Automation - Cincinnati, OH (day 1 onsite)

Any visa fine

Primary Skills- Web application & API testing with Automation (No or less manual Testing)

5+ years of experience in Salesforce , Web application & API testing with Automation (No or less manual Testing), SDET
Hands on experience on Tools such as Selenium, SOAP UI/Ready API, Postman preferred
Hands on experience on BDD with cucumber framework, SOAP, REST Services Testing
Hands on experience on JAVA, OOPS concepts
Good working knowledge on DevOps Technologies (GitHub, Jenkins, Maven/ANT)

Excellent Communication & Leadership skills, Positive attitude.

 provided by Dice",3371240088
198,"Software Engineering Intern, Web",Yahoo,United States,Remote,,None,None,"It takes powerful technology to connect our brands and partners with an audience of nearly 900 million. Whether you’re looking to write mobile app code, engineer the servers behind our massive ad tech stacks, or develop algorithms to help us process trillions of data points a day, what you do here will have a huge impact on our business—and the world. Want in?


Hundreds of millions of people around the world rely on our product to keep in touch with the people and things they care most about. Now we need your help making Yahoo Mail the fastest, easiest, and most attractive place for communicating with your friends and family. We're a team that is creating one of the most sophisticated client side web applications in the world, and we're constantly pushing the limits of code complexity, user experience fluidity, and raw performance. We're making browsers do things for hundreds of millions of users that Berners-Lee never dreamed of, and we need your help, especially if you're passionate about communication.

Responsibilities will include engineering ownership in a complex client side application, including new feature work, improvements on existing code, debugging and investigation of user issues, and active participation in designing and shipping the product.


BS Computer Science (or related fields / experience)
Familiar with OOP: C++, Java, C#, or similar
Solid understanding of CS fundamentals (algorithms, data structures, object oriented programming)
Working knowledge of browser-side client technologies including AJAX, HTML5, CSS3 and object-oriented Javascript
Working knowledge of scripting languages such as PHP, Perl, Python, and/or Ruby
Flexible and able to work with a diverse team that includes engineers, marketing, product, and designers
Linux/Unix knowledge necessary
Excellent communication skills, both written and oral
Familiar with HTTP protocol

Bonus points for:

Familiar developing mail application
Familiar with frontend test driven development
Familiar with JavaScript framework such as React, Angular, Ember and node.js
Familiar with continuous integration (CI) frameworks such as Jenkins and Hudson
Familiar with SCRUM or similar agile methodology

Yahoo is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Yahoo is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please submit a request via the Accommodation Request Form (www.yahooinc.com/careers/contact-us.html) or call 408-336-1409. Requests and calls received for non-disability related issues, such as following up on an application, will not receive a response.

At Yahoo, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion (www.yahooinc.com/diversity/) page to learn more.

US Only: Please be aware that Yahoo requires all employees entering a U.S. Yahoo office and/or attending a company event (including client events) are required to be vaccinated for COVID-19. This position will require the successful candidate to obtain and show proof of a vaccination to enter a U.S. Yahoo office and/or attending a company event (including client events). Yahoo is an equal opportunity employer, and will provide reasonable accommodation to those individuals who are unable to be vaccinated consistent with federal, state, and local law.

The compensation for this position ranges from $45,760.00 - $135,200.00/yr and will vary depending on factors such as your location, skills and experience. The compensation package may also include incentive compensation opportunities in the form of discretionary annual bonus or commissions, in addition to equity incentives. Yahoo provides industry-leading benefits including healthcare, 401K savings plan, company holidays, vacation, sick time, parental leave and an employee assistance program.

Currently work for Yahoo? Please apply on our internal career site.",3369966164
199,Staff Software Engineer - Akamai,Western Union,"Austin, Texas Metropolitan Area",Hybrid,,None,None,"Staff Software Engineer – Denver, CO OR Austin, TX USA
Are you motivated by a desire to solve challenging IT engineering implementations, developing, and solving problems? How about offering up your technical skills in a global business that is committed to moving money for better? Join Western Union as a Staff Software Engineer.

Motivated by our values: purpose driven, globally minded, and trustworthy & respectful
We’re a FinTech that’s using insight from customers and colleagues worldwide to improve financial services for families, small businesses, multinational corporations, and non-profit organizations. We’re a team of over 8,000 employees serving 200 countries and territories. We believe when money moves, better things happen.

Relentless pursuit of Better 
In this role you will utilize data across multiple platforms to analyze customer touch points and web-flows, to generate actionable insights to improve customer experience. You will assess the impact of product/policy changes on the business and provide recommendations. You will create and automate reports to track and monitor KPIs, and help operational teams improve the site performance. You will perform ad-hoc analysis based on business needs. You will work on the CDN delivery configuration across the cross functional business units. You will work on the optimization of the application layer including the CDN, debug any prod issue and non-prod issues by evaluating the logs.

For this role, you will have a bachelor’s degree or equivalent with 1.5+ years of experience in CDN (Akamai, CloudFront, etc.) & front-end technology (HTML and JavaScript). You’ll also have experience in spoof testing & monitoring tools (Dynatrace, Splunk, ELK, etc.) You have good mathematical intuition and outstanding data visualization capabilities The individual in this role must thrive on working in a fast-paced environment, be comfortable with ambiguity, be able to work with cross-functional teams, and have outstanding communication skills.

Join us, and let’s connect the world 
Western Union is transforming its business and shaping the financial services sector by driving quality, convenience, and customer service to new levels of excellence. It’s an exciting time for our organization, as the largest cross-border money transfer operator, trusted by millions of consumers around the world. If you’re ready to unleash your potential to help drive change through bottom-up innovation, apply now.
We’re a company on the move, and we want our people to grow and develop. You’ll have plenty of opportunities to learn new skills and build a career, as well as a great salary and benefits package.
We are passionate about our diversity. Our commitment is to provide an inclusive culture that celebrates the unique backgrounds and perspectives of our global teams, while reflecting the communities we serve. We do not discriminate on the basis of race, color, national origin, religion, political affiliation, sex (including pregnancy), sexual orientation, gender identity, age, disability, marital status, or veteran (U.S.) status. The company will provide accommodation to applicants, including those with disabilities, during the recruitment process, in accordance with applicable laws.

The annual gross base salary range is $82,485.00 – 144,745.00. This role is also eligible to receive annual bonus. This range represents the anticipated low and high end of the salary for this position. Actual salaries will vary and are based on factors such as a candidate’s qualifications, skills, and competencies. Salary is one component of the Western Union total compensation package, which includes short-term incentives, multiple health insurance options, accident and life insurance, and access to best-in-class development platforms, to name a few! To view details of our benefits, visit https://mywubenefits.com/.",3365663036
200,Machine Learning Engineer,Leviton,"Melville, NY",On-site,,None,None,"About Leviton

At Leviton we make innovative products to meet the needs of today’s residential, commercial, and industrial customers globally; providing them with the light, power, and information they need to move forward and do more every day. As a part of Leviton, you’ll join a stable company with over 115 years of history developing products that directly impact everyday lives.

Overview

Position is part of Electrical Engineering team that develops wiring devices for residential use. Example of product applications: light controls, personal protection, load centers, etc. Individual will be responsible for developing state of the art algorithms for embedded systems employed in our products.

Responsibilities
Playing a key role in developing advanced algorithms and deploying them in our products. 
Analyzing signal signature data, extracting features using statistical, signal processing, data mining and/or optimization techniques. 
Designing algorithms for fault event detection in real time applications.
Develop algorithms to detect, characterize and generate voltage and current signals for sensor, power metering and lighting control equipment
Implementing models and algorithms in Python, C/C++, and/or MATLAB
Optimizing machine learning solutions for implementation in an embedded environment.
Participating in laboratory and field tests to collect and analyze experimental data to support the verification, validation, and improvement of technical solutions
Analyzes marketing and engineering data to determine software feasibility of product proposal
Develops technical specifications and identifies test requirements for products 
Prepares product or system software, block diagrams and object code utilizing engineering group input
Participates as needed to fabricate engineering prototype
Implements process improvements to decrease time to market of new and existing products
This position requires a motivated, creative engineer with the ability to design a variety of new products from concept through production release

Qualifications

Education & Experience
BS degree in electrical engineering, computer science, computer engineering, physics, math, or related field of study (MS degree preferred) 
2+ years’ of professional experience is preferred

Skills & Abilities
Strong knowledge of programming in C, C++ and Python (Python strongly preferred, Matlab acceptable)
Strong data analytic skills and experience in dealing with real-world time series data.
Proven experience in embedded system and firmware development.
Proficient with signal processing and DSP techniques such as spectral analysis, filter design, and signal feature extraction
Knowledge in machine learning / deep learning (Experience in time series analysis and classification strongly preferred) 
Experience working with libraries such as TensorFlow, Numpy, Pandas, Sklearn, etc
Ability to read and understand electrical schematics is preferred
Comfortable using lab equipment and tools such as debuggers, logic analyzers, oscilloscopes, etc.
Excellent teamwork, communication, and organizational skills.

Travel
Up to 10% travel required. # #IND2

Salary will be dependent upon the individual’s skills, experience, and qualifications.",3362394631
